###### NEW LOG SESSION ######
Epoch,Epsilon,Score,
0,0.8911090557802088,23,
1,0.8348931673187264,13,
2,0.798065677681905,9,
3,0.736559652908221,16,
4,0.6900935609921609,13,
5,0.6274028820538087,19,
6,0.5997278763867329,9,
7,0.5452463540625918,19,
8,0.4883155414435353,22,
9,0.4598090507939749,12,
10,0.43080185560799106,13,
11,0.4117990041127769,9,
12,0.3743896431025813,19,
13,0.34901730169741024,14,
14,0.3302941218954743,11,
15,0.29729358661854943,21,
16,0.2743815040481898,16,
17,0.2408545925762412,26,
18,0.20826882814336947,29,
19,0.18099664897669618,28,
20,0.1580861105294992,27,
21,0.12059799144222175,54,
22,0.0943346041173244,49,
23,0.07490878371492794,46,
24,0.05489891379418004,62,
25,0.04125526245077418,57,
26,0.03479077471386296,34,
27,0.020553584742122436,105,
28,0.01,159,
29,0.01,83,
30,0.01,52,
31,0.01,118,
32,0.01,230,
33,0.01,121,
34,0.01,56,
35,0.01,75,
36,0.01,104,
37,0.01,161,
38,0.01,225,
39,0.01,160,
40,0.01,155,
41,0.01,313,
42,0.01,250,
43,0.01,133,
44,0.01,260,
45,0.01,163,
46,0.01,270,
47,0.01,184,
48,0.01,160,
49,0.01,175,
50,0.01,171,
51,0.01,310,
52,0.01,208,
53,0.01,160,
54,0.01,137,
55,0.01,151,
56,0.01,157,
57,0.01,306,
58,0.01,254,
59,0.01,179,
60,0.01,240,
61,0.01,163,
62,0.01,182,
63,0.01,178,
64,0.01,249,
65,0.01,161,
66,0.01,179,
67,0.01,208,
68,0.01,148,
69,0.01,161,
70,0.01,217,
71,0.01,166,
72,0.01,191,
73,0.01,175,
74,0.01,139,
75,0.01,238,
76,0.01,158,
77,0.01,169,
78,0.01,157,
79,0.01,188,
80,0.01,164,
81,0.01,231,
82,0.01,155,
83,0.01,310,
84,0.01,156,
85,0.01,189,
86,0.01,332,
87,0.01,191,
88,0.01,214,
89,0.01,121,
90,0.01,158,
91,0.01,165,
92,0.01,229,
93,0.01,163,
94,0.01,171,
95,0.01,152,
96,0.01,216,
97,0.01,164,
98,0.01,219,
99,0.01,185,
100,0.01,312,
101,0.01,171,
102,0.01,154,
103,0.01,186,
104,0.01,246,
105,0.01,125,
106,0.01,121,
107,0.01,133,
108,0.01,208,
109,0.01,193,
110,0.01,233,
111,0.01,149,
112,0.01,166,
113,0.01,123,
114,0.01,367,
115,0.01,218,
116,0.01,204,
117,0.01,153,
118,0.01,149,
119,0.01,153,
120,0.01,182,
121,0.01,119,
122,0.01,105,
123,0.01,108,
124,0.01,175,
125,0.01,157,
126,0.01,164,
127,0.01,211,
128,0.01,123,
129,0.01,172,
130,0.01,157,
131,0.01,139,
132,0.01,165,
133,0.01,166,
134,0.01,145,
135,0.01,195,
136,0.01,132,
137,0.01,138,
138,0.01,148,
139,0.01,154,
140,0.01,176,
141,0.01,217,
142,0.01,213,
143,0.01,49,
144,0.01,139,
145,0.01,128,
146,0.01,199,
147,0.01,131,
148,0.01,121,
149,0.01,148,
150,0.01,103,
151,0.01,156,
152,0.01,142,
153,0.01,161,
154,0.01,191,
155,0.01,144,
156,0.01,143,
157,0.01,175,
158,0.01,215,
159,0.01,141,
160,0.01,121,
161,0.01,144,
162,0.01,183,
163,0.01,114,
164,0.01,116,
165,0.01,169,
166,0.01,220,
167,0.01,168,
168,0.01,114,
169,0.01,136,
170,0.01,135,
171,0.01,200,
172,0.01,147,
173,0.01,113,
174,0.01,125,
175,0.01,124,
176,0.01,147,
177,0.01,134,
178,0.01,153,
179,0.01,252,
180,0.01,106,
181,0.01,150,
182,0.01,139,
183,0.01,236,
184,0.01,145,
185,0.01,133,
186,0.01,141,
187,0.01,145,
188,0.01,184,
189,0.01,111,
190,0.01,126,
191,0.01,108,
192,0.01,79,
193,0.01,98,
194,0.01,130,
195,0.01,235,
196,0.01,139,
197,0.01,137,
198,0.01,121,
199,0.01,103,
200,0.01,277,
201,0.01,134,
202,0.01,116,
203,0.01,123,
204,0.01,105,
205,0.01,136,
206,0.01,106,
207,0.01,159,
208,0.01,234,
209,0.01,110,
210,0.01,180,
211,0.01,111,
212,0.01,116,
213,0.01,129,
214,0.01,123,
215,0.01,130,
216,0.01,137,
217,0.01,138,
218,0.01,109,
219,0.01,233,
220,0.01,229,
221,0.01,110,
222,0.01,125,
223,0.01,127,
224,0.01,247,
225,0.01,105,
226,0.01,112,
227,0.01,138,
228,0.01,139,
229,0.01,150,
230,0.01,168,
231,0.01,154,
232,0.01,123,
233,0.01,132,
234,0.01,125,
235,0.01,202,
236,0.01,123,
237,0.01,139,
238,0.01,111,
239,0.01,153,
240,0.01,120,
241,0.01,165,
242,0.01,150,
243,0.01,161,
244,0.01,132,
245,0.01,224,
246,0.01,221,
247,0.01,127,
248,0.01,132,
249,0.01,115,
