###### NEW LOG SESSION ######
Epoch,Epsilon,Score,
0,0.8822202429488013,25,
1,0.8390886103705794,10,
2,0.7666961448653229,18,
3,0.6900935609921609,21,
4,0.6465587967553006,13,
5,0.567555222460375,26,
6,0.5344229416520513,12,
7,0.510849320360386,9,
8,0.47147873742168567,16,
9,0.4506816115185697,9,
10,0.42013897252428334,14,
11,0.3877593341372176,16,
12,0.3632974174544486,13,
13,0.3420891339682016,12,
14,0.3237376186352221,11,
15,0.3033145315372582,13,
16,0.2827589419554058,14,
17,0.27164454854530906,8,
18,0.25966219297210513,9,
19,0.2457325055235537,11,
20,0.23255008201124722,11,
21,0.22229219984074702,9,
22,0.21142436319205632,10,
23,0.2010878536592394,10,
24,0.192217783647157,9,
25,0.18190617987607657,11,
26,0.17043057265153258,13,
27,0.16373146555890544,8,
28,0.15650920157696743,9,
29,0.14885748713096328,10,
30,0.14157986400593744,10,
31,0.1346580429260134,10,
32,0.12871821987500112,9,
33,0.12304040492325048,9,
34,0.1176130407830293,9,
35,0.11186295456362313,10,
36,0.10586201936274783,11,
37,0.10018300685223579,11,
38,0.09386293109673778,13,
39,0.089273984641318,10,
40,0.08533607153708872,9,
41,0.08157186144027828,9,
42,0.07797369223798889,9,
43,0.07342180695061275,12,
44,0.06983222438783,10,
45,0.0667518955258533,9,
46,0.06380744126877576,9,
47,0.060687903789832374,10,
48,0.05772088009124167,10,
49,0.05462441922520914,11,
50,0.05169406930342616,11,
51,0.04916675299948831,10,
52,0.046997986793891174,9,
53,0.04470026135116646,10,
54,0.04230229704853423,11,
55,0.04023414326483323,10,
56,0.03845939824099909,9,
57,0.03694767635022522,8,
58,0.03479077471386296,12,
59,0.03325613897196732,9,
60,0.03178919665971424,9,
61,0.030235026982422884,10,
62,0.028901347193857643,9,
63,0.027626496583102015,9,
64,0.026407880170317945,9,
65,0.025116802354115567,10,
66,0.023888845163905856,10,
67,0.022949847368015076,8,
68,0.022047758717570132,8,
69,0.021181128426399323,8,
70,0.020145585821044927,10,
71,0.019160670758563442,10,
72,0.01831548549245123,9,
73,0.0175075817047932,9,
74,0.01681941195362342,8,
75,0.015997113097568336,10,
76,0.015215016325303928,10,
77,0.014471156162198668,10,
78,0.013832827362230486,9,
79,0.013156542237201536,10,
80,0.012513320603703188,10,
81,0.011961352755726806,9,
82,0.01137656378004644,10,
83,0.010766263235786683,11,
84,0.010239902030817916,10,
85,0.01,10,
86,0.01,10,
87,0.01,11,
88,0.01,8,
89,0.01,8,
90,0.01,10,
91,0.01,10,
92,0.01,9,
93,0.01,9,
94,0.01,9,
95,0.01,8,
96,0.01,10,
97,0.01,9,
98,0.01,8,
99,0.01,9,
100,0.01,9,
101,0.01,10,
102,0.01,9,
103,0.01,9,
104,0.01,9,
105,0.01,9,
106,0.01,10,
107,0.01,10,
108,0.01,11,
109,0.01,9,
110,0.01,12,
111,0.01,12,
112,0.01,13,
113,0.01,12,
114,0.01,11,
115,0.01,11,
116,0.01,13,
117,0.01,19,
118,0.01,11,
119,0.01,10,
120,0.01,14,
121,0.01,12,
122,0.01,12,
123,0.01,9,
124,0.01,13,
125,0.01,10,
126,0.01,10,
127,0.01,10,
128,0.01,10,
129,0.01,8,
130,0.01,8,
131,0.01,9,
132,0.01,10,
133,0.01,10,
134,0.01,10,
135,0.01,10,
136,0.01,9,
137,0.01,10,
138,0.01,9,
139,0.01,9,
140,0.01,14,
141,0.01,12,
142,0.01,14,
143,0.01,8,
144,0.01,15,
145,0.01,10,
146,0.01,19,
147,0.01,23,
148,0.01,12,
149,0.01,15,
150,0.01,9,
151,0.01,17,
152,0.01,10,
153,0.01,16,
154,0.01,9,
155,0.01,34,
156,0.01,11,
157,0.01,20,
158,0.01,38,
159,0.01,15,
160,0.01,9,
161,0.01,42,
162,0.01,15,
163,0.01,23,
164,0.01,63,
165,0.01,19,
166,0.01,16,
167,0.01,84,
168,0.01,67,
169,0.01,61,
170,0.01,26,
171,0.01,31,
172,0.01,23,
173,0.01,149,
174,0.01,62,
175,0.01,70,
176,0.01,63,
177,0.01,87,
178,0.01,39,
179,0.01,72,
180,0.01,32,
181,0.01,30,
182,0.01,36,
183,0.01,35,
184,0.01,68,
185,0.01,65,
186,0.01,34,
187,0.01,57,
188,0.01,31,
189,0.01,42,
190,0.01,53,
191,0.01,53,
192,0.01,42,
193,0.01,81,
194,0.01,64,
195,0.01,91,
196,0.01,135,
197,0.01,51,
198,0.01,188,
199,0.01,60,
200,0.01,86,
201,0.01,72,
202,0.01,75,
203,0.01,95,
204,0.01,81,
205,0.01,93,
206,0.01,102,
207,0.01,264,
208,0.01,76,
209,0.01,108,
210,0.01,135,
211,0.01,277,
212,0.01,225,
213,0.01,114,
214,0.01,117,
215,0.01,107,
216,0.01,109,
217,0.01,118,
218,0.01,108,
219,0.01,170,
220,0.01,138,
221,0.01,133,
222,0.01,132,
223,0.01,172,
224,0.01,133,
225,0.01,222,
226,0.01,104,
227,0.01,124,
228,0.01,138,
229,0.01,125,
230,0.01,134,
231,0.01,155,
232,0.01,171,
233,0.01,151,
234,0.01,153,
235,0.01,156,
236,0.01,157,
237,0.01,169,
238,0.01,240,
239,0.01,242,
240,0.01,500,
241,0.01,285,
242,0.01,313,
243,0.01,307,
244,0.01,143,
245,0.01,163,
246,0.01,158,
247,0.01,133,
248,0.01,132,
249,0.01,185,
